Nama Produk,Ulasan
Tidak ditemukan,"laptop sesuai dengan Spec yg dibutuhkan, instalasi mudah dengan panduan, terimakasih semoga awet"
[FREE MOUSE] ASUS Vivobook Go 14 E1404FA-VIPS5152M - Green Grey [AMD Ryzen 5 7520U / AMD Radeon Graphics / 16GB / 512GB / 14inch / WIn11 / OHS24 / M365],Barang bagus... belum dicoba
ASUS ExpertBook P1403CVA-S63850WS AI PC - Misty Grey [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],Good
Tidak ditemukan,Good
ASUS Vivobook 14 A1404VA-FHD3823M - Cool Silver [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],Beli untuk keponakan
Tidak ditemukan,pecking  kayu nya bagus aman
[FREE SMARTWATCH] ASUS Vivobook 14 A1404VA-VIPS7853M - Cool Silver [Intel Core i7-1355U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],barang sesuai aman dan Peking nya aman
Tidak ditemukan,mantap pengiriman aman dan barang jg aman
ASUS Vivobook Go 14 E410KA-FHD4823M - Peacock Blue [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],"Sampai dengan selamat.walaupun jarakya jauh
Performa sistem: Baik
Bahan: Baik"
[FREE MOUSE] ASUS TUF Gaming A15 FA506NFR-R725B1T-OM - Graphite Black [AMD Ryzen 7 7435HS / NVIDIA GeForce RTX 2050 / 8GB / 512GB / 15.6inch / WIN11 / OHS],Baguss bgt
[FREE MOUSE] ASUS Vivobook 14 A1404ZA-VIPS553 - Transparent Silver [Intel Core i5-1235U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS],Packaging nya sangat aman jadi tidak perlu khawatir
[FREE HEADPHONE] ASUS TUF Gaming A16 FA608UH-R7N55J6G-HM - Jaeger Gray [AMD Ryzen 7 260 Processor / NVIDIA GeForce RTX 5050 / 16GB / 512GB / 16inch / WIN11 / OHS24 / M365],"unit berfungsi dengan baik, seller fast respont, pengiriman aman pakai Go Instant."
[FREE MOUSE] ASUS Vivobook 14 A1405VA-VIPS5152M - Cool Silver [Intel Core i5-13420H / Intel UHD Graphics / 16GB / 512GB / 14inch / WIN11 / OHS24 / M365],"Terimakasih barang nya bagus... Gada yang lecet, dan juga dapat bonus mos dan tas"
Tidak ditemukan,Produk sampai dengan aman dari pulau jawa ke sumatera utara. Packaging aman. Barang berfungsi dengan baik. Kalo untuk mengirim ya standar lah karna jauh.
[FREE MOUSE] ASUS Vivobook 14 A1404VAP-VIPS5853M - Cool Silver [Intel Core 5 Processor 120U / Intel Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],Produk baik sekali
ASUS Vivobook 14 A1404VA-VIPS3851M - Quiet Blue [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],"barang bagus, terima kasih"
ASUS ExpertBook P1403CVA-S63850WS AI PC - Misty Grey [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],Butuh waktu untuk instal office.
Tidak ditemukan,mantap
[FREE MOUSE] ASUS Vivobook 14 A1404VAP-VIPS5853M - Cool Silver [Intel Core 5 Processor 120U / Intel Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],recommend seller and fast response
ASUS Vivobook Go 14 E410KA-FHD4822M - Rose Pink [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],"alhamdulillah barang dah sampe dengan selamat . 
trimakasih kak"
Tidak ditemukan,"mantap pengamanan packing kayu, tapi pengiriman agak lambat"
ASUS Vivobook Go 14 E410KA-FHD4823M - Peacock Blue [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],barang sesuai pesanan dan tiba dengan selamat
Tidak ditemukan,"Ganteng parah, pengiriman super cevat, aman, tidak ada lecet, semoga tidak ada kendala kedepan nya🤍🤍"
ASUS Vivobook Go 14 E410KA-FHD4822M - Rose Pink [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],"Quality of work: Keren
Material: Premium
System performance: Sangat menunjang"
Tidak ditemukan,item merupakan original produk
ASUS Vivobook Go 14 E410KA-FHD4822M - Rose Pink [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],Bahan: Bagus
Tidak ditemukan,"paking aman sampai rumah  barang baru, laptop cepat, nhamama buat kerja ringan"
[FREE MOUSE] ASUS Vivobook S14 S3407CA-VIPS5111M - Matte Gray [Intel Core Ultra 5 / Intel UHD Graphics / 16GB / 1TB / WIN11 / OHS24 / M365],"Alhamdulillah dateng dengan selamat, semuaa all perfect, kecuali ekspedisinyaa yang ga update"
[FREE MOUSE] ASUS Vivobook 14 A1404VAP-VIPS5153M - Cool Silver [Intel Core 5 Processor 120U / Intel Graphics / 16GB / 512GB / 14inch / WIN11 / OHS24 / M365],"Barang sudah sampai dengan selamat, kurir instant gercep. Masih disetting dan install update. Terima kasih bonus mouse wirelessnya."
ASUS Vivobook 14 A1404VA-VIPS3853M - Cool Silver [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],Alhamdulillah barang sudah mendarat dengan selamat. Cek fungsi sudah aman keseluruhan. Aktivasi ms.office 2024 juga gampang. Selain itu dapat bonus Tas ASUS. Semoga kedep...
ASUS ExpertBook P1403CVA-S63850WS AI PC - Misty Grey [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],"Unit oke, respon admin baik."
[FREE EXCLUSIVE GIFT] ASUS Zenbook 14 OLED UX3405CA-OLED5111TM - Ponder Blue [Intel Core Ultra 5 / Intel Arc Graphics / 16GB / 1TB / 14inch / WIN11 / OHS / M365],"Produk performed well, garansi 3th, pengiriman cepat, spesifikasi sesuai, dan pelayanan dari admin cepat."
[FREE MOUSE] ASUS Vivobook 14 A1405VA-VIPS5152M - Cool Silver [Intel Core i5-13420H / Intel UHD Graphics / 16GB / 512GB / 14inch / WIN11 / OHS24 / M365],"Kualitas pengerjaan: Good
Bahan: Nice
Performa sistem: Great"
Tidak ditemukan,Trusted seller
ASUS Vivobook Go 15 E1504FA-VIPS3152M - Green Gray [AMD Ryzen 3 7320U / AMD Radeon Graphics / 16GB / 512GB / 15.6inch / WIN11 / OHS24 / M365],Barangnya bagus. Dan sampai nya pun aman. Tidak ada kecacatan sampai sekarang
[FREE MOUSE] ASUS Vivobook Go 14 E1404FA-VIPS5852M - Green Grey [AMD Ryzen 5 7520U / AMD Radeon Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],Kualitas barang dan respon seller sangat bagus.👍
Tidak ditemukan,"puas sama produknya gan ditambah pengiriman cepat dan packing sangat aman, terima kasih banyak"
[FREE MOUSE] ASUS Vivobook S14 S3407CA-VIPS7111M - Matte Gray [Intel Core Ultra 7 / Intel UHD Graphics / 16GB / 1TB / 14inch / WIN11 / OHS24 / M365],fast response and recommend seller deh pokok nya
ASUS Vivobook 14 A1404VA-FHD3823M - Cool Silver [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],"Barangnya udah nyampe, kaka adminnya juga gercep ngebantu aktivasi office"
PACKING KAYU (HANYA UNTUK PENGIRIMAN VIA EKSPEDISI),Bahan kayu untuk packing nya keren bnget
[FREE MOUSE] ASUS Vivobook Go 14 E1404FA-VIPS5151M - Mixed Black [AMD Ryzen 5 7520U / AMD Radeon Graphics / 16GB / 512GB / 14inch / WIn11 / OHS24 / M365],"Laptop nya sampai dengan selamat ditujuan, laptop nya keren bnget secara kualitas ini perfect dan cocok banget untuk produktivitas 🔥🔥🔥🔥"
[FREE MOUSE] ASUS Vivobook 14 A1405VA-VIPS5152M - Cool Silver [Intel Core i5-13420H / Intel UHD Graphics / 16GB / 512GB / 14inch / WIN11 / OHS24 / M365],Lumayan respon
ASUS Vivobook Go 14 E1404FA-FHD3852M - Green Gray [AMD Ryzen 3 7320U /  AMD Radeon Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],Barangnya sangat baguss
ASUS Vivobook Go 14 E1404FA-FHD3821M - Mixed Black [AMD Ryzen 3 7320U / AMD Radeon Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],Bagus tapi mintanya silver dapet nya item 😅
[FREE MOUSE] ASUS TUF Gaming A16 FA608UH-R7N55J6G-HM - Jaeger Gray [AMD Ryzen 7 260 Processor / NVIDIA GeForce RTX 5050 / 16GB / 512GB / 16inch / WIN11 / OHS24 / M365],"barang Ok sesuai ekspektasi 
semoga Awet"
[FREE MOUSE] ASUS Vivobook 14 A1404VAP-VIPS5153M - Cool Silver [Intel Core 5 Processor 120U / Intel Graphics / 16GB / 512GB / 14inch / WIN11 / OHS24 / M365],fast response dan barang sesuai deskripsi
ASUS Vivobook Go 14 E410KA-FHD4823M - Peacock Blue [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],"Order ke 2, support selalu baik"
ASUS Vivobook Go 14 E410KA-FHD4822M - Rose Pink [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],semoga memuaskan
ASUS Vivobook Go 14 E1404FA-FHD3823M - Cool Silver [AMD Ryzen 3 7320U / AMD Radeon Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],barang sampai dan baguss
ASUS Vivobook Go 15 E1504FA-VIPS3153M - Cool Silver [AMD Ryzen 3 7320U / AMD Radeon Graphics / 16GB / 512GB / 15.6inch / WIN11 / OHS24 / M365],gooddddddd makasih makasih 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
[FREE MOUSE] ASUS TUF Gaming A16 FA608UH-R7N55J6G-HM - Jaeger Gray [AMD Ryzen 7 260 Processor / NVIDIA GeForce RTX 5050 / 16GB / 512GB / 16inch / WIN11 / OHS24 / M365],"barang ori, bonusnya ada, penjualnya past respon dan amanah, pengiriman lumayan cepat, top lah pokoknya, sukses y semuanya"
Tidak ditemukan,"barang asli dan normal, rekomendasi untuk pelajar"
[FREE MOUSE] ASUS Vivobook 14 A1404VAP-VIPS5152M - Terra Cotta [Intel Core 5 Processor 120U / Intel Graphics / 16GB / 512GB / 14inch / WIN11 / OHS24 / M365],"MasyaaAllah bagus laptopnya, semoga bisa berfungsi dengan baik dan awet serta barokah, cuma sayang gk ada invoice fisiknya. semua worth it, it's okay."
Tidak ditemukan,"seller responsive,  Alhamdulillah kayunya bermanfaat dipakai tetangga. packing kayu sudah diminta tetangga belum sempat difoto, qoddarullah."
ASUS Vivobook Go 14 E1404FA-VIPS3852M - Green Gray [AMD Ryzen 3 7320U / AMD Radeon Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],supplier komunikatif Dan membantu
[FREE MOUSE] ASUS Vivobook Go 14 E1404FA-VIPS5152M - Green Grey [AMD Ryzen 5 7520U / AMD Radeon Graphics / 16GB / 512GB / 14inch / WIn11 / OHS24 / M365],"laptopnya sudah saya pakai, performanya mantap. pokoknya tidak mengecewakan deh"
Tidak ditemukan,"mantap, sesuai"
[FREE TWS] ASUS Zenbook 14 OLED UX3405CA-OLEDS9311TM - Ponder Blue [Intel Core Ultra 9 Processor 285H / Intel Arc Graphics / 32GB / 1TB / 14inch / WIN11 / OHS / M365],"pengiriman sangat cepat, walaupun tidak pakai packaging kayu tapi aman, di double dus dan di wrap"
Tidak ditemukan,"Mantap, cepat sampai, sesuai pesanan. Pas dapat diskonnya"
ASUS Vivobook Go 14 E1404FA-FHD3822M - Green Grey [AMD Ryzen 3 7320U / AMD Radeon Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],👍👍👍👍
ASUS Mouse WT425 - Fog Silver,Makasih
ASUS Vivobook Go 14 E1404FA-FHD3823M - Cool Silver [AMD Ryzen 3 7320U / AMD Radeon Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],Sesuai ekspektasi
[FREE MOUSE] ASUS Vivobook Go 14 E1404FA-VIPS5151M - Mixed Black [AMD Ryzen 5 7520U / AMD Radeon Graphics / 16GB / 512GB / 14inch / WIn11 / OHS24 / M365],"respon cepat, sesuai deskripsi iklan, tks"
ASUS Vivobook Go 14 E410KA-FHD4822M - Rose Pink [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],"kadang rada takut beli barang eletronik kirim ke daerah saya yg notabene nya jauh sampai d Indonesia Timur... tp barang nya mendarat dengan Aman, packing nya Aman, nggak..."
ASUS Vivobook 14 A1404VA-FHD3823M - Cool Silver [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],"Cust service nyaa responsif jawab pertanyaan chat, dan dituntun cara2xnya mulai dr unboxing sm aktifasinya, nice."
Tidak ditemukan,"sesuai deskripsi, serasa enteng, walaupun di isi penuh barang, packingnya juga rapi dan bagus

semoga bisa awet .. aamiin"
ASUS Vivobook 14 A1404VA-FHD3821M - Quiet Blue [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],"Rekomen banget buat pelayanan dan pengiriman, pakai instant beli pagi siang nyampe dengan kondisi aman"
ASUS Vivobook 14 A1404VA-VIPS3853M - Cool Silver [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],"spesifikasi sesuai, fast respon dan layanan maksimal"
Tidak ditemukan,Bagus mouse nya. Tidak berisik dan semoga awet
ASUS Vivobook Go 14 E1404FA-VIPS3852M - Green Gray [AMD Ryzen 3 7320U / AMD Radeon Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],"semoga awet laptopnya
packing aman
pengiriman cepat"
ASUS Vivobook Go 14 E410KA-FHD4823M - Peacock Blue [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],maaantaap
ASUS Vivobook Go 14 E1404FA-FHD3851M - Mixed Black [AMD Ryzen 3 7320U /  AMD Radeon Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],"alhamdulillah barang sampai , semua berjalan"
ASUS Vivobook 14 A1404VA-VIPS3852M - Terra Cotta [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],puas dengan servicenya. barangnya original.
ASUS Vivobook 14 A1400KA-FHD459 RAM 8GB - Indie Black [Intel Celeron N4500 / Intel UHD Graphics 600 / 8GB / 512GB / 14inch / WIN11 / OHS],Baik
ASUS Vivobook Go 14 E410KA-FHD4821M - Star Black [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],Tidak ditemukan
Tidak ditemukan,Pengiriman cepat dan seller sangat komunikatif
[FREE MOUSE] ASUS Gaming V16 V3607VU-I545B7T-HM - Matte Black [Intel Core 5 Processor 210H / NVIDIA GeForce RTX 4050 / 16GB / 512GB / 16inch / WIN11 / OHS24 / M365],sempat terlambat tapi barang datang dengan selamat
ASUS Vivobook 14 A1404VA-VIPS3852M - Terra Cotta [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],"mantap dateng dengan baik dan selamat, lalu dateng lebih cepat dari estimasi"
ASUS Vivobook 14 A1400KA-FHD4510 - Transparent Silver [Intel Celeron N4500 / Intel UHD Graphics 600 / 4GB / 512GB / 14inch / WIN11 / OHS],Sampai sulsel dengan aman
Tidak ditemukan,produk asli original & sudah free mouse juga. warnanya bagus & sudah sesuai dengan spesifikasi. terimakasih
ASUS ExpertBook P1403CVA-S63850WS AI PC - Misty Grey [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],"produk mantap. istimewa. semoga awet. auto update bios juga. sayang, untuk dual boot dengan fedora linux masih tricky"
ASUS Vivobook Go 14 E410KA-FHD4821M - Star Black [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],barang ok sesuai brand new in box no hoax pokoknya ini order ke 2 kali nya mantap dan puas semoga nanti bisa order lagi
ASUS Vivobook 14 A1404ZA-IPS321 - Quiet Blue [Intel Core i3-1215U / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS],Bagus Original rekomen
[FREE MOUSE] ASUS Vivobook S14 M3407HA-VIPS7112M - Cool Silver [AMD Ryzen 7 260 / AMD Radeon Graphics / 16GB / 1TB / 14inch / WIN11 / OHS24 / M365],recommend seller and fast response serta barang sesuai deskripsi
[FREE MOUSE] ASUS Vivobook 14 A1404VA-VIPS7852M - Terra Cotta [Intel Core i7-1355U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],"Kurang puas dengan pengirimannya
Instant tapi dikirim besoknya
Bilangnya ready tapi alasannya barang belum datang dari gudang jadi dikirim besoknya. Kenapa saya pilih ins..."
ASUS Vivobook Go 14 E410KA-FHD4823M - Peacock Blue [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],"mantab, pengiriman cepat, informasi dari seller sangat membantu ketika pembelian"
ASUS Marshmallow Mouse MD100 - Oat Milk,👍👍👍😊
Tidak ditemukan,mantap.....................................
ASUS Vivobook Go 14 E410KA-FHD4822M - Rose Pink [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],Tidak ditemukan
ASUS Vivobook Go 14 E1404GA-FHD321 - Mixed Black [Intel® Core™ i3-N305 / Intel® UHD Graphics / 8GB /256GB / 14inch / WIN11 / OHS],"Barang sampai dengan selamat, tapi pengirimannya lama banget"
Tidak ditemukan,"Pengiriman cepat. Packing aman.
Handheld terbaik saat ini, sesuai harganya."
[FREE MOUSE] ASUS Vivobook Go 15 E1504FA-VIPS5152M  - Green Gray [AMD Ryzen 5 7520U / AMD Radeon Graphics / 16GB / 512GB / 15.6inch / WIN11 / OHS24 / M365],semua ok... dibungkus dengan sangat baik... pengiriman agak Lama karna kargo tapi okelah Karna free ongkir sampe kupang... semoga awet...
ASUS ExpertBook P1403CVA-S63850WS AI PC - Misty Grey [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],Mantap
ASUS Vivobook 14 A1404VA-VIPS3852M - Terra Cotta [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],"Alhamdulillah laptop udah sampai lokasi dgn aman, udah disetting semua normal."
ASUS Vivobook 14 A1404VA-FHD3823M - Cool Silver [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],oke barang sudah sampai di tunjuan dengan selamat tinggal di cek dan di tes
Tidak ditemukan,oke barang sudah sampai di tunjuan dengan selamat tinggal di cek dan di tes
[FREE MOUSE] ASUS Vivobook 14 A1405VA-VIPS5152M - Cool Silver [Intel Core i5-13420H / Intel UHD Graphics / 16GB / 512GB / 14inch / WIN11 / OHS24 / M365],Pengiriman cepat
Tidak ditemukan,"pesanan sesuai. admin gercep melayani. pesan langsung dikirim.
btw makasih free TWS nya"
[FREE TWS] ASUS Zenbook 14 UM3406KA-OLEDS7311M - Jade Black [AMD RYZEN AI 7 350 / AMD Radeon Graphics / 32GB / 1TB / 14inch / WIN11 / OHS24 / M365],"pesanan sesuai. admin gercep melayani. pesan langsung dikirim.
btw makasih free TWS nya"
Tidak ditemukan,"Ringan, perform bagus dan sangat mudah pengoperasian awalnya"
ASUS Vivobook Go 14 E1404FA-FHD3821M - Mixed Black [AMD Ryzen 3 7320U / AMD Radeon Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],Maa syaa Allah... pembelian yang kedua kalinya. alhamdulillah selulernya fast respon. Untuk pengaktifannya juga dipandu dengan ramah. Terimakasih seller
Tidak ditemukan,"design keren
semoga awet 
pertama kali beli rog handheld gaming"
ASUS Vivobook Go 14 E1404FA-FHD3823M - Cool Silver [AMD Ryzen 3 7320U / AMD Radeon Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],semoga awet
[FREE MOUSE] ASUS Vivobook 14 A1404VA-VIPS7853M - Cool Silver [Intel Core i7-1355U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],"Barang bagus tanpa lecet, sempurna. Pengiriman aman dan cepat"
ASUS Vivobook Go 14 E1404FA-FHD3853M - Cool Silver [AMD Ryzen 3 7320U / AMD Radeon Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],kualitasnya lumayan bagus dan lumayan satset dipakai untuk tugas kuliah
Tidak ditemukan,mantap sekali. terbaik memang Asus ROG Xbox Ally x
ASUS Vivobook Go 14 E1404FA-FHD3823M - Cool Silver [AMD Ryzen 3 7320U / AMD Radeon Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],prodak sesuai dan respon cepat pokoknya mantap
ASUS Vivobook 14 A1404VA-FHD3823M - Cool Silver [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],keren.. mantap.....
ASUS Vivobook Go 14 E1404FA-FHD3853M - Cool Silver [AMD Ryzen 3 7320U / AMD Radeon Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],"Barang nyampe dg selamat untuk laptop warna SILVER pas lampu keyboard nyala, hurufnya malah keliatan tidak jelas.
Cara matiin lampu keyboard gimana caranya..?"
Tidak ditemukan,"pengemasan bagus, barang sudah diterima dengan kondisi sangat baik, seller responsif"
Tidak ditemukan,"kualitas terbaik dari toko terbaik. 
barang sampai sesuai schedule, paket rapi, tepat waktu dan original pastinya. 
bisa unboxing saat lagi hype, keren 
terimakasih Asus..."
Tidak ditemukan,barang original
Tidak ditemukan,Bagus
ASUS Vivobook Go 14 E410KA-FHD4822M - Rose Pink [Intel Celeron N4500 / Intel UHD Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],bagus
[FREE MOUSE] ASUS Vivobook Go 14 E1404FA-VIPS5851M - Mixed Black [AMD Ryzen 5 7520U / AMD Radeon Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],barang sesuai spesifikasi
Tidak ditemukan,"Alhamdulillah aman semuanya
adminnya juga baik banget 100%"
[FREE MOUSE] ASUS Vivobook 14 A1404VAP-VIPS5853M - Cool Silver [Intel Core 5 Processor 120U / Intel Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],Respond sellernya 👍
Tidak ditemukan,ok
[FREE MOUSE] ASUS Vivobook 14 A1404VA-VIPS3852M - Terra Cotta [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],pengiriman cepat packing aman kualitas barang original semoga tidak ada kendala terima kasih gan
[FREE TWS] ASUS TUF Gaming A15 FA506NCG-R735B1T-HM - Graphite Black [AMD Ryzen 7 7445HS / NVIDIA GeForce RTX 3050 / 8GB / 512GB / 15.6inch / WIN11 / OHS24 / M365],barangnya ori
[FREE TWS] ASUS TUF Gaming A16 FA608UH-R7N55J6G-HM - Jaeger Gray [AMD Ryzen 7 260 Processor / NVIDIA GeForce RTX 5050 / 16GB / 512GB / 16inch / WIN11 / OHS24 / M365],"alhamdulillah barang sudah datang,semoga awet..
dapet free gift juga..
makasih👍"
Tidak ditemukan,"Toko mantap, responsif walau agak slow respon, mungkin weeek end, mamas2 kurir ramah dan santun... Alhamdulillqh barang lengkap sesuai diskripsi"
Tidak ditemukan,"Alhamdulillah paket sdh sampai dengan selamat, barang sesuai deskripsi, langsung aktivasi OHS 2021 lancar.
terimakasih admin."
[FREE MOUSE] ASUS Vivobook Go 14 E1404FA-FHD3852M - Green Gray [AMD Ryzen 3 7320U /  AMD Radeon Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],mantab
Tidak ditemukan,Tidak ditemukan
[FREE MOUSE] ASUS Vivobook 14 A1404VA-VIPS3853M - Cool Silver [Intel Core i3-1315U / Intel UHD Graphics / 8GB / 512GB / 14inch / WIN11 / OHS24 / M365],"mantap puas,  penanganan cukup cepat, harus di tingkatkan, respon cepat harus di tingkatkan lagi, overall puas"
Tidak ditemukan,packing aman kondisi baik
[FREE MOUSE] ASUS Gaming K16 K3605VC-I535B1T-HM - Indie Black [Intel Core i5-13420H / NVIDIA Geforce RTX 3050 / 8GB / 512GB / 16inch / WIN11 / OHS24 / M365],Alhamdulillah sesuai deskripsi👍
[FREE MOUSE] ASUS Vivobook Go 14 E1404FA-FHD3821M - Mixed Black [AMD Ryzen 3 7320U / AMD Radeon Graphics / 8GB / 256GB / 14inch / WIN11 / OHS24 / M365],"Alhamdulillah kawan, toko ini amanah meskipun kalau di chat kurang fast respon. Barang dalam kondisi baik dan baru sesuai deskripsi. 

Jazaakallaahu Khairan Katsiiran"
ASUS LED C2221HE Business Monitor – 22 inch,"Kualitas pengerjaan: Top
Bahan: Top
Performa sistem: Top"
